Index,Time,PRB
7,2,28.0
7,3,28.0
7,4,28.0
7,5,28.0
7,6,28.0
7,8,28.0
7,9,28.0
7,10,28.0
7,13,28.0
7,15,28.0
7,17,28.0
7,18,28.0
7,19,28.0
7,20,28.0
7,21,28.0
7,22,28.0
7,25,28.0
7,28,28.0
7,30,28.0
7,31,28.0
7,33,28.0
7,34,28.0
7,36,28.0
7,40,28.0
7,46,28.0
9,4,27.0
9,6,27.0
9,266,27.0
9,267,27.0
9,268,27.0
9,269,27.0
9,270,27.0
9,271,27.0
9,272,27.0
4,299,27.0
5,323,27.0
2,500,29.0
2,502,29.0
2,503,29.0
2,506,29.0
2,508,29.0
2,509,29.0
2,513,29.0
2,514,29.0
2,517,29.0
2,518,29.0
2,519,29.0
2,520,29.0
2,521,29.0
2,522,29.0
2,523,29.0
2,524,29.0
2,525,29.0
2,526,29.0
2,527,29.0
2,528,29.0
2,529,29.0
2,530,29.0
2,531,29.0
2,532,29.0
2,534,29.0
2,535,29.0
2,536,29.0
2,537,29.0
2,538,29.0
2,539,29.0
2,540,29.0
2,541,29.0
2,542,29.0
2,543,29.0
2,544,29.0
2,545,29.0
2,546,29.0
2,548,29.0
2,549,29.0
2,550,29.0
2,551,29.0
2,560,29.0
2,561,29.0
2,563,29.0
2,565,29.0
2,566,29.0
2,568,29.0
2,570,29.0
2,571,29.0
